item	total	count part-1	specif part-1	count part-2	specif part-2	count part-3	specif part-3
gw	150	150	15.85	0	-10.96	0	-4.10
lm	150	150	15.85	0	-10.96	0	-4.10
ph	150	148	12.92	2	-8.39	0	-4.10
qi	150	145	9.87	5	-5.87	0	-4.10
cd	150	149	14.23	1	-9.52	0	-4.10
ze	150	150	15.85	0	-10.96	0	-4.10
kc	150	150	15.85	0	-10.96	0	-4.10
pensée	150	0	-99.88	150	121.54	0	-4.10
ah	149	146	11.69	2	-8.32	1	-3.09
sd	149	149	15.74	0	-10.89	0	-4.08
ya	149	149	15.74	0	-10.89	0	-4.08
ov	149	148	14.13	1	-9.45	0	-4.08
vj	149	149	15.74	0	-10.89	0	-4.08
mt	149	146	11.69	3	-7.37	0	-4.08
mm	149	148	14.13	1	-9.45	0	-4.08
tb	149	149	15.74	0	-10.89	0	-4.08
ch	149	129	2.44	19	-1.21	1	-3.09
qt	149	149	15.74	0	-10.89	0	-4.08
nh	149	149	15.74	0	-10.89	0	-4.08
rz	149	148	14.13	1	-9.45	0	-4.08
ga	149	147	12.82	2	-8.32	0	-4.08
vc	149	148	14.13	1	-9.45	0	-4.08
pj	149	149	15.74	0	-10.89	0	-4.08
humaines	149	0	-99.21	149	120.73	0	-4.08
pl	148	139	6.81	7	-4.55	2	-2.39
quando	148	148	15.63	0	-10.81	0	-4.05
fs	148	146	12.72	2	-8.25	0	-4.05
mu	148	148	15.63	0	-10.81	0	-4.05
qb	148	148	15.63	0	-10.81	0	-4.05
aw	148	147	14.02	1	-9.38	0	-4.05
yz	148	148	15.63	0	-10.81	0	-4.05
sh	148	148	15.63	0	-10.81	0	-4.05
kl	148	148	15.63	0	-10.81	0	-4.05
kq	148	148	15.63	0	-10.81	0	-4.05
mk	148	147	14.02	0	-10.81	1	-3.07
ka	148	148	15.63	0	-10.81	0	-4.05
yb	148	148	15.63	0	-10.81	0	-4.05
ux	148	148	15.63	0	-10.81	0	-4.05
th	148	139	6.81	7	-4.55	2	-2.39
autres	148	2	-93.39	146	114.41	0	-4.05
siècle	148	0	-98.55	148	119.92	0	-4.05
quale	147	146	13.92	1	-9.31	0	-4.02
qn	147	147	15.53	0	-10.74	0	-4.02
vo	147	147	15.53	0	-10.74	0	-4.02
uq	147	146	13.92	1	-9.31	0	-4.02
af	147	145	12.62	2	-8.18	0	-4.02
up	147	144	11.49	3	-7.24	0	-4.02
gd	147	146	13.92	1	-9.31	0	-4.02
xg	147	147	15.53	0	-10.74	0	-4.02
wi	147	147	15.53	0	-10.74	0	-4.02
gm	147	147	15.53	0	-10.74	0	-4.02
xk	147	146	13.92	1	-9.31	0	-4.02
nl	147	142	9.60	3	-7.24	2	-2.37
fw	147	147	15.53	0	-10.74	0	-4.02
xs	147	147	15.53	0	-10.74	0	-4.02
bu	147	146	13.92	1	-9.31	0	-4.02
dj	147	147	15.53	0	-10.74	0	-4.02
pu	147	134	4.67	13	-2.18	0	-4.02
yk	147	147	15.53	0	-10.74	0	-4.02
xm	147	147	15.53	0	-10.74	0	-4.02
yf	147	147	15.53	0	-10.74	0	-4.02
gx	147	147	15.53	0	-10.74	0	-4.02
oi	147	147	15.53	0	-10.74	0	-4.02
storia	146	146	15.42	0	-10.67	0	-3.99
vn	146	146	15.42	0	-10.67	0	-3.99
28	146	99	-3.06	33	2.21	14	1.53
pc	146	146	15.42	0	-10.67	0	-3.99
ty	146	145	13.82	1	-9.24	0	-3.99
ge	146	146	15.42	0	-10.67	0	-3.99
sp	146	144	12.52	2	-8.12	0	-3.99
fd	146	145	13.82	1	-9.24	0	-3.99
tn	146	146	15.42	0	-10.67	0	-3.99
hg	146	146	15.42	0	-10.67	0	-3.99
nx	146	146	15.42	0	-10.67	0	-3.99
rj	146	145	13.82	1	-9.24	0	-3.99
dy	146	146	15.42	0	-10.67	0	-3.99
nb	146	145	13.82	0	-10.67	1	-3.02
ev	146	143	11.40	3	-7.17	0	-3.99
eo	146	139	7.96	7	-4.44	0	-3.99
df	146	146	15.42	0	-10.67	0	-3.99
ao	145	145	15.32	0	-10.59	0	-3.97
fb	145	145	15.32	0	-10.59	0	-3.97
e'	145	143	12.42	2	-8.05	0	-3.97
bb	145	143	12.42	2	-8.05	0	-3.97
sintesi	145	145	15.32	0	-10.59	0	-3.97
ls	145	145	15.32	0	-10.59	0	-3.97
vp	145	145	15.32	0	-10.59	0	-3.97
fk	145	145	15.32	0	-10.59	0	-3.97
ip	145	145	15.32	0	-10.59	0	-3.97
ck	145	145	15.32	0	-10.59	0	-3.97
wa	145	144	13.72	1	-9.17	0	-3.97
tp	145	145	15.32	0	-10.59	0	-3.97
ds	145	136	6.57	9	-3.45	0	-3.97
ml	145	145	15.32	0	-10.59	0	-3.97
hu	145	143	12.42	0	-10.59	2	-2.32
flatedecode	145	145	15.32	0	-10.59	0	-3.97
realtà	144	144	15.21	0	-10.52	0	-3.94
yt	144	144	15.21	0	-10.52	0	-3.94
oh	144	144	15.21	0	-10.52	0	-3.94
yv	144	144	15.21	0	-10.52	0	-3.94
po	144	143	13.61	1	-9.10	0	-3.94
hk	144	144	15.21	0	-10.52	0	-3.94
oz	144	144	15.21	0	-10.52	0	-3.94
pf	144	144	15.21	0	-10.52	0	-3.94
wy	144	144	15.21	0	-10.52	0	-3.94
xd	144	144	15.21	0	-10.52	0	-3.94
fo	144	140	10.22	4	-6.23	0	-3.94
jq	144	144	15.21	0	-10.52	0	-3.94
vf	144	143	13.61	1	-9.10	0	-3.94
iw	144	143	13.61	1	-9.10	0	-3.94
jl	144	144	15.21	0	-10.52	0	-3.94
oe	144	144	15.21	0	-10.52	0	-3.94
dl	144	144	15.21	0	-10.52	0	-3.94
nv	143	143	15.11	0	-10.45	0	-3.91
xn	143	143	15.11	0	-10.45	0	-3.91
zn	143	143	15.11	0	-10.45	0	-3.91
hm	143	143	15.11	0	-10.45	0	-3.91
gg	143	143	15.11	0	-10.45	0	-3.91
jz	143	143	15.11	0	-10.45	0	-3.91
cy	143	143	15.11	0	-10.45	0	-3.91
wg	143	143	15.11	0	-10.45	0	-3.91
dc	143	141	12.22	0	-10.45	2	-2.28
gc	143	143	15.11	0	-10.45	0	-3.91
société	143	0	-95.22	143	115.86	0	-3.91
gq	142	142	15.00	0	-10.38	0	-3.89
rn	142	142	15.00	0	-10.38	0	-3.89
dp	142	142	15.00	0	-10.38	0	-3.89
tl	142	140	12.12	1	-8.96	1	-2.92
vh	142	142	15.00	0	-10.38	0	-3.89
gp	142	142	15.00	0	-10.38	0	-3.89
qj	142	142	15.00	0	-10.38	0	-3.89
secondo	141	141	14.89	0	-10.30	0	-3.86
31	141	103	-1.61	25	1.17	13	1.39
119	141	137	9.94	2	-7.78	2	-2.24
ek	141	141	14.89	0	-10.30	0	-3.86
nj	141	141	14.89	0	-10.30	0	-3.86
cu	141	141	14.89	0	-10.30	0	-3.86
jg	141	140	13.31	1	-8.89	0	-3.86
kd	141	141	14.89	0	-10.30	0	-3.86
vg	141	141	14.89	0	-10.30	0	-3.86
pi	140	140	14.79	0	-10.23	0	-3.83
xv	140	138	11.92	1	-8.82	1	-2.87
ua	140	138	11.92	0	-10.23	2	-2.22
zt	140	139	13.20	1	-8.82	0	-3.83
kg	140	140	14.79	0	-10.23	0	-3.83
fg	140	140	14.79	0	-10.23	0	-3.83
zl	140	140	14.79	0	-10.23	0	-3.83
zd	140	140	14.79	0	-10.23	0	-3.83
hy	140	139	13.20	1	-8.82	0	-3.83
lq	140	140	14.79	0	-10.23	0	-3.83
wh	140	139	13.20	1	-8.82	0	-3.83
pz	140	140	14.79	0	-10.23	0	-3.83
zk	140	139	13.20	1	-8.82	0	-3.83
nr	140	140	14.79	0	-10.23	0	-3.83
français	139	10	-72.22	129	90.52	0	-3.80
chiesa	139	139	14.68	0	-10.16	0	-3.80
od	139	138	13.10	1	-8.75	0	-3.80
ix	139	135	9.75	2	-7.65	2	-2.20
fj	139	139	14.68	0	-10.16	0	-3.80
nd	139	137	11.82	2	-7.65	0	-3.80
bs	139	139	14.68	0	-10.16	0	-3.80
dg	139	139	14.68	0	-10.16	0	-3.80
rw	139	139	14.68	0	-10.16	0	-3.80
aq	139	139	14.68	0	-10.16	0	-3.80
bible	139	0	-92.55	137	107.17	2	-2.20
esempio	138	138	14.58	0	-10.08	0	-3.78
mn	138	137	13.00	1	-8.68	0	-3.78
qy	138	137	13.00	1	-8.68	0	-3.78
Я	138	29	-45.90	0	-10.08	109	103.45
ag	138	138	14.58	0	-10.08	0	-3.78
pw	138	138	14.58	0	-10.08	0	-3.78
ol	138	138	14.58	0	-10.08	0	-3.78
wl	138	138	14.58	0	-10.08	0	-3.78
ve	138	137	13.00	1	-8.68	0	-3.78
во	138	0	-91.89	0	-10.08	138	167.62
cosa	137	137	14.47	0	-10.01	0	-3.75
alle	137	136	12.90	1	-8.61	0	-3.75
forme	137	47	-27.77	90	39.23	0	-3.75
ub	137	137	14.47	0	-10.01	0	-3.75
lx	137	135	11.62	2	-7.51	0	-3.75
gu	137	137	14.47	0	-10.01	0	-3.75
bk	137	135	11.62	2	-7.51	0	-3.75
hb	137	137	14.47	0	-10.01	0	-3.75
bv	137	137	14.47	0	-10.01	0	-3.75
zo	137	137	14.47	0	-10.01	0	-3.75
dv	137	137	14.47	0	-10.01	0	-3.75
l'homme	137	0	-91.22	137	111.00	0	-3.75
человека	137	0	-91.22	0	-10.01	137	166.41
wp	136	136	14.37	0	-9.94	0	-3.72
dx	136	135	12.79	1	-8.54	0	-3.72
uk	136	133	10.43	2	-7.45	1	-2.77
363	136	136	14.37	0	-9.94	0	-3.72
xl	136	136	14.37	0	-9.94	0	-3.72
eb	136	136	14.37	0	-9.94	0	-3.72
fl	136	136	14.37	0	-9.94	0	-3.72
gy	136	136	14.37	0	-9.94	0	-3.72
dh	136	136	14.37	0	-9.94	0	-3.72
fy	136	135	12.79	1	-8.54	0	-3.72
oq	136	136	14.37	0	-9.94	0	-3.72
gj	136	136	14.37	0	-9.94	0	-3.72
6t0424endstream	136	136	14.37	0	-9.94	0	-3.72
leurs	136	1	-87.86	135	107.32	0	-3.72
был	136	0	-90.55	0	-9.94	136	165.19
50	135	107	1.09	23	1.09	5	-1.09
fp	135	135	14.26	0	-9.86	0	-3.69
ic	135	135	14.26	0	-9.86	0	-3.69
bf	135	135	14.26	0	-9.86	0	-3.69
py	135	135	14.26	0	-9.86	0	-3.69
gz	135	135	14.26	0	-9.86	0	-3.69
vr	135	135	14.26	0	-9.86	0	-3.69
physique	135	0	-89.89	135	109.38	0	-3.69
св	135	0	-89.89	0	-9.86	135	163.98
tempo	134	134	14.15	0	-9.79	0	-3.67
nc	134	133	12.59	1	-8.40	0	-3.67
mp	134	133	12.59	1	-8.40	0	-3.67
qk	134	134	14.15	0	-9.79	0	-3.67
fe	134	132	11.33	2	-7.32	0	-3.67
bp	134	132	11.33	2	-7.32	0	-3.67
jd	134	134	14.15	0	-9.79	0	-3.67
fc	134	134	14.15	0	-9.79	0	-3.67
cq	134	134	14.15	0	-9.79	0	-3.67
zr	134	134	14.15	0	-9.79	0	-3.67
fz	133	133	14.05	0	-9.72	0	-3.64
yn	133	133	14.05	0	-9.72	0	-3.64
619	133	133	14.05	0	-9.72	0	-3.64
zg	133	133	14.05	0	-9.72	0	-3.64
md	133	132	12.49	1	-8.33	0	-3.64
lz	133	133	14.05	0	-9.72	0	-3.64
tc	133	133	14.05	0	-9.72	0	-3.64
wq	133	133	14.05	0	-9.72	0	-3.64
moins	133	1	-85.87	132	104.90	0	-3.64
temps	133	2	-83.49	131	102.34	0	-3.64
politique	133	3	-81.29	130	99.97	0	-3.64
sé	132	132	13.94	0	-9.64	0	-3.61
hh	132	132	13.94	0	-9.64	0	-3.61
lb	132	131	12.38	1	-8.26	0	-3.61
qe	132	127	8.25	5	-4.84	0	-3.61
question	132	0	-87.89	132	106.95	0	-3.61
sulla	131	129	11.03	2	-7.12	0	-3.58
bm	131	129	11.03	2	-7.12	0	-3.58
b6	131	131	13.84	0	-9.57	0	-3.58
pn	131	130	12.28	1	-8.19	0	-3.58
uj	131	130	12.28	1	-8.19	0	-3.58
pm	131	129	11.03	2	-7.12	0	-3.58
d'autres	131	2	-82.17	129	100.74	0	-3.58
esprits	131	0	-87.22	131	106.14	0	-3.58
proprio	130	130	13.73	0	-9.50	0	-3.56
zq	130	130	13.73	0	-9.50	0	-3.56
za	130	129	12.18	1	-8.12	0	-3.56
qp	130	130	13.73	0	-9.50	0	-3.56
kt	130	130	13.73	0	-9.50	0	-3.56
609	130	130	13.73	0	-9.50	0	-3.56
53	129	112	2.30	14	-1.45	3	-1.55
bl	129	129	13.63	0	-9.43	0	-3.53
jp	129	129	13.63	0	-9.43	0	-3.53
sw	129	128	12.08	1	-8.05	0	-3.53
cl	129	128	12.08	1	-8.05	0	-3.53
ct	129	128	12.08	1	-8.05	0	-3.53
np	129	129	13.63	0	-9.43	0	-3.53
xb	129	128	12.08	1	-8.05	0	-3.53
trimbox	129	129	13.63	0	-9.43	0	-3.53
1643	129	128	12.08	1	-8.05	0	-3.53
donc	129	0	-85.89	129	104.52	0	-3.53
littéraire	129	0	-85.89	129	104.52	0	-3.53
quello	128	128	13.52	0	-9.35	0	-3.50
part	128	3	-78.01	123	91.60	2	-1.97
500	128	122	7.15	5	-4.62	1	-2.58
wikitesto	128	128	13.52	0	-9.35	0	-3.50
56	128	111	2.25	14	-1.43	3	-1.53
qa	128	127	11.97	1	-7.98	0	-3.50
